scope,f_stat,p_value,mean_경타포스,mean_사냥,mean_사냥 외,n_경타포스,n_사냥,n_사냥 외
전체,7045.4385267026055,0.0,370.1586382081045,285.6483096227706,234.1033894361749,286269,565546,833086
Lv.285~289,3704.8636698662203,0.0,348.49300950906354,273.3149782880143,228.4209921122155,199582,392401,571852
Lv.290~294,3572.105150352755,0.0,435.4825686493332,322.8029006852149,251.8473163407627,78592,156986,236877
Lv.295~299,198.12049594507366,2.02619794181132e-86,270.51408413578645,224.4907563085806,195.16286750125752,8083,16135,24321
Lv.300,1.5739688016540117,0.21456968101022955,0.0,20.566613177263193,51.72936448957349,12,24,36
