scope,category,n,mean,p5,p25,median,p75,p95
전체,경타포스,286269,370.1586382081045,0.0,2.450522188843603,177.7618576763321,435.817799685008,1434.9517092626763
전체,사냥,565546,285.6483096227706,0.0,3.7519715838705405,125.18742638583441,292.6969120326155,1126.6700760470023
전체,사냥 외,833086,234.1033894361749,0.0,0.1036027889442577,95.61277584212166,242.17738090606085,911.5953089783544
Lv.285~289,경타포스,199582,348.49300950906354,0.0,0.0,140.97183416886443,407.70060117255656,1426.1425106794338
Lv.285~289,사냥,392401,273.3149782880143,0.0,0.0,101.26772390789638,279.49837629373866,1127.8015227843964
Lv.285~289,사냥 외,571852,228.4209921122155,0.0,0.0,76.56666049647598,231.4196285817516,939.5214969493896
Lv.290~294,경타포스,78592,435.4825686493332,0.0,93.44315494769522,251.51523777351758,514.2582703663236,1529.0343742500465
Lv.290~294,사냥,156986,322.8029006852149,0.0,67.81346130284716,164.7772638526362,327.7974163424771,1188.0357545742527
Lv.290~294,사냥 외,236877,251.8473163407627,0.0,44.272835632385046,124.25604728090028,264.5002885820971,887.3414104382471
Lv.295~299,경타포스,8083,270.51408413578645,2.0159056094110306,127.6624288815313,204.60430188651668,315.2264896135559,679.5186075549376
Lv.295~299,사냥,16135,224.4907563085806,5.964674349429908,103.45484039436445,156.9282662809215,244.88497092199384,563.3313417677617
Lv.295~299,사냥 외,24321,195.16286750125752,3.763914373251361,84.47314061294233,127.63490095790971,227.8687315493442,506.6296951395502
Lv.300,경타포스,12,0.0,0.0,0.0,0.0,0.0,0.0
Lv.300,사냥,24,20.566613177263193,0.0,0.0,0.0,0.0,133.42978228501786
Lv.300,사냥 외,36,51.72936448957349,0.0,0.0,0.0,17.93034975119546,278.5960688658194
