segment,n,pre_avg,post_avg,growth_rate,t_stat,p_value,sym_days,data_start,data_end
Lv.285~289,67347,1298900357506.1794,2369667072076.6084,82.43640155941175,-158.21405514834717,0.0,35,2025-11-08,2026-03-14
Lv.290~294,26929,2625299995016.7563,5206596656425.543,98.3238740832859,-136.4013325248167,0.0,35,2025-11-08,2026-03-14
Lv.295~299,2751,5251168288883.19,7095437972067.426,35.121130798427934,-33.00887136446666,1.4022228851191542e-201,35,2025-11-08,2026-03-14
Lv.300,4,11142744859437.65,0.0,-100.0,2.5424810210416116,0.0844960279498207,35,2025-11-08,2026-03-14
