segment,day_name,week_idx,avg_exp
Lv.290~294,금,10,10916198058451.686
Lv.290~294,금,11,4723795016467.939
Lv.290~294,금,12,5263226231482.004
Lv.290~294,금,13,7924248564789.66
Lv.290~294,금,14,6547889881962.798
Lv.290~294,금,15,6622057288048.286
Lv.290~294,금,16,7426080378235.862
Lv.290~294,금,17,9044308520696.799
Lv.290~294,금,18,7767071659489.825
Lv.290~294,목,1,2761187756442.1216
Lv.290~294,목,2,2376553417021.5576
Lv.290~294,목,3,2764625127313.8037
Lv.290~294,목,4,2915243372203.5864
Lv.290~294,목,5,2720461498758.948
Lv.290~294,목,6,3785628190351.5166
Lv.290~294,목,7,5847027178691.785
Lv.290~294,목,8,6487588078469.597
Lv.290~294,목,9,8855810934632.072
Lv.290~294,목,11,5829646523632.793
Lv.290~294,목,12,6518464541112.012
Lv.290~294,목,13,9942664812792.668
Lv.290~294,목,14,7713511331381.815
Lv.290~294,목,15,7746023590115.812
Lv.290~294,목,16,8236519929670.674
Lv.290~294,목,17,10619665385880.29
Lv.290~294,목,18,8749583617812.169
Lv.290~294,수,1,2557083957310.786
Lv.290~294,수,2,2622484000586.0674
Lv.290~294,수,3,2746474517545.6953
Lv.290~294,수,4,2739645205044.264
Lv.290~294,수,5,2554156078098.8833
Lv.290~294,수,6,2974206417058.1567
Lv.290~294,수,7,4083661946693.9517
Lv.290~294,수,8,4035791425618.003
Lv.290~294,수,9,4304486078508.079
Lv.290~294,수,10,7719137023903.314
Lv.290~294,수,11,4737164425520.863
Lv.290~294,수,12,4544256236494.241
Lv.290~294,수,13,5604044835988.839
Lv.290~294,수,14,8435957508497.385
Lv.290~294,수,15,7323475228248.018
Lv.290~294,수,16,6427374646879.247
Lv.290~294,수,17,7593476740861.001
Lv.290~294,수,18,7750311860814.063
Lv.290~294,월,1,2275939685625.52
Lv.290~294,월,2,2242711146985.2437
Lv.290~294,월,3,2350581470758.812
Lv.290~294,월,4,2376482318826.2793
Lv.290~294,월,5,2384458435656.463
Lv.290~294,월,6,2573887624281.6865
