name,segment,job,world,world_group,tier,union_level,access_flag,character_age_days,event_flag,duration_days,trailing_inactive_days,first_active_date,last_active_date,active_day_count,active_day_ratio,avg_exp_on_active_days,pre_avg,post_avg
야미마로,Lv.285~289,렌,스카니아,스카니아,3,7143.0,True,269.0,1,49,53,2025-12-02,2026-01-21,8,0.0777,2786559149266.25,289055222628.6667,206855060687.75824
야생아기불곰,Lv.285~289,해적,루나,루나크로아,3,9529.0,True,1914.0,0,125,0,2025-11-09,2026-03-15,110,0.873,1306151634833.182,1593397489850.5715,966019425130.5494
야암히,Lv.290~294,궁수,아케인,기타,1,9859.0,True,2602.0,0,125,0,2025-11-09,2026-03-15,124,0.9841,7524177219727.049,7407542420840.0,7403670225458.835
야전껄룩,Lv.285~289,전사,크로아,루나크로아,3,9936.0,True,630.0,0,125,0,2025-11-09,2026-03-15,70,0.5556,996892848763.8857,870334411305.3143,432096648547.0989
야쭈,Lv.285~289,렌,스카니아,스카니아,3,9773.0,True,269.0,0,115,3,2025-11-19,2026-03-12,60,0.5172,518506518548.85,528778970810.92,196603481787.45056
야추goat승윤,Lv.285~289,기사단,엘리시움,기타,3,9280.0,True,1354.0,1,88,8,2025-12-08,2026-03-07,17,0.1717,870712881307.8235,259544361946.75,139843561391.85715
야츠이에,Lv.285~289,렌,스카니아,스카니아,3,9144.0,True,269.0,0,125,0,2025-11-09,2026-03-15,111,0.881,3647966925530.739,1647466327765.2285,3816077002880.5386
야코섭섭,Lv.285~289,렌,엘리시움,기타,3,8616.0,True,269.0,0,113,0,2025-11-21,2026-03-15,103,0.9035,3661860726528.0,3361993636873.913,3295008804222.901
야피,Lv.290~294,도적,베라,베라,2,9990.0,True,2398.0,0,125,0,2025-11-09,2026-03-15,116,0.9206,4865835877569.854,278297081836.25714,6095566636635.538
야해,Lv.295~299,호영,루나,루나크로아,1,9656.0,True,2146.0,0,125,0,2025-11-09,2026-03-15,126,1.0,8667121534369.277,5306885633764.771,9959519957678.703
약군,Lv.285~289,팬텀,엘리시움,기타,3,9030.0,True,3248.0,1,1,117,2025-11-17,2025-11-17,1,0.0079,294971656640.0,8427761618.285714,0.0
약해빠진렌임,Lv.285~289,렌,엘리시움,기타,3,8590.0,True,257.0,1,86,37,2025-11-11,2026-02-06,28,0.2222,436533987013.1429,223031556107.8857,48536782116.39561
얄듸렌,Lv.285~289,렌,스카니아,스카니아,3,9119.0,True,269.0,0,113,4,2025-11-21,2026-03-11,41,0.3565,377914849050.5854,299714746511.25,91223680162.68132
얌마쑤,Lv.290~294,도적,스카니아,스카니아,2,9900.0,True,2635.0,0,125,0,2025-11-09,2026-03-15,107,0.8492,6643143559087.421,2980365301184.029,6664874453636.406
얌뽕이,Lv.285~289,마법사,엘리시움,기타,3,9682.0,True,2277.0,0,120,0,2025-11-14,2026-03-15,66,0.5455,3588772415871.6514,644861153848.3334,2390254338814.055
