scope,category,n,mean,p5,p25,median,p75,p95
전체,경타포스,287316,369.7748356351451,0.0,2.0978958728072374,177.4117450887603,435.41509863137776,1433.9704402808873
전체,사냥,567591,285.25858502804897,0.0,3.424020496625685,124.92092569878007,292.42466454677117,1125.7304094473288
전체,사냥 외,836060,233.6299640544272,0.0,0.08160344170030145,95.30617506216464,241.75840300357714,910.2904794402318
Lv.285~289,경타포스,200506,348.01804555528844,0.0,0.0,140.56421132103603,407.1752845973451,1423.7725909192131
Lv.285~289,사냥,394205,272.92707108668833,0.0,0.0,100.97222116502462,279.19253720297155,1126.356910608833
Lv.285~289,사냥 외,574464,227.87194001191153,0.0,0.0,76.20270347717735,230.85847149364514,937.3353656150559
Lv.290~294,경타포스,78700,435.4572454596246,0.0,93.26116377515424,251.31208264261707,514.3167606723231,1529.2333298804526
Lv.290~294,사냥,157197,322.4740348591771,0.0,67.57348475707016,164.67371415596315,327.5950187137654,1187.0793789065906
Lv.290~294,사냥 외,237194,251.56692866015223,0.0,44.07486657436092,124.13656593774608,264.33573988560977,886.268464126725
Lv.295~299,경타포스,8098,270.6884682102064,1.9206067357941277,127.65545824708435,204.72283120360706,315.56498848548614,680.5125321307363
Lv.295~299,사냥,16165,224.46922489656964,5.7688389877785,103.42754320004414,156.97796226442608,244.98644046955013,563.717498764067
Lv.295~299,사냥 외,24366,195.0428164903498,3.6009698992245345,84.39933041868245,127.59326224019772,227.78565229558154,506.79327936469747
Lv.300,경타포스,12,0.0,0.0,0.0,0.0,0.0,0.0
Lv.300,사냥,24,20.566613177263193,0.0,0.0,0.0,0.0,133.42978228501786
Lv.300,사냥 외,36,51.72936448957349,0.0,0.0,0.0,17.93034975119546,278.5960688658194
