scope,f_stat,p_value,mean_경타포스,mean_사냥,mean_사냥 외,n_경타포스,n_사냥,n_사냥 외
전체,7106.081198266159,0.0,369.92751466972067,285.30759731242455,233.68509261868584,287084,567133,835403
Lv.285~289,3741.391506603117,0.0,348.19011612064423,272.9888334515253,227.94922576784663,200298,393796,573881
Lv.290~294,3597.279330972276,0.0,435.5388114182603,322.4756554938091,251.56554602026384,78676,157148,237120
Lv.295~299,200.1812175164046,2.620293739959141e-87,270.6884682102064,224.46922489656964,195.0428164903498,8098,16165,24366
Lv.300,1.5739688016540117,0.21456968101022955,0.0,20.566613177263193,51.72936448957349,12,24,36
