segment,n,pre_avg,post_avg,growth_rate,t_stat,p_value,sym_days,data_start,data_end
Lv.285~289,67579,1298712873588.3645,2304227772862.052,77.4239571904322,-153.63418896316236,0.0,35,2025-11-08,2026-03-11
Lv.290~294,26957,2623984240237.6455,5061321770808.231,92.88689669682789,-132.90581923363774,0.0,35,2025-11-08,2026-03-11
Lv.295~299,2756,5255215834822.693,6911207968150.886,31.511400965780968,-30.416215955808628,1.8602532646446137e-175,35,2025-11-08,2026-03-11
Lv.300,4,11142744859437.65,0.0,-100.0,2.5424810210416116,0.0844960279498207,35,2025-11-08,2026-03-11
